no.fibres,mean.prob,median.prob,sd.prob,Q3,Q1,margin,ci.lower,ci.upper
201,2.1543749551774626e-9,9.941297796767665e-12,7.063556389602131e-9,1.6770990024392709e-10,1.1528723087115698e-33,4.3832677126879193e-10,1.7160481839086706e-9,2.5927017264462547e-9
202,2.2863064826477693e-9,1.101603241544779e-11,7.459206118492348e-9,1.8350325563284865e-10,1.7029532777457907e-33,4.6287869081927635e-10,1.823427791828493e-9,2.7491851734670455e-9
203,2.425301549776701e-9,1.2197330531443087e-11,7.874092595733462e-9,2.0064310034289746e-10,2.5079328439792194e-33,4.886243407414431e-10,1.9366772090352578e-9,2.913925890518144e-9
204,2.571681764022207e-9,1.349477981728538e-11,8.309000309251096e-9,2.1923183053982307e-10,3.6824417799812045e-33,5.156124021869064e-10,2.0560693618353007e-9,3.0872941662091133e-9
205,2.7257806541677916e-9,1.4918739429234328e-11,8.764738939195888e-9,2.3937864147176007e-10,5.3911028518287136e-33,5.438931196028845e-10,2.1818875345649072e-9,3.269673773770676e-9
206,2.887944002960421e-9,1.6480394385320936e-11,9.242143904678835e-9,2.611999086993671e-10,7.869656439753884e-33,5.73518334659689e-10,2.3144256683007317e-9,3.4614623376201102e-9
207,3.058530185585064e-9,1.8191813193169353e-11,9.742076913893127e-9,2.8481958631888703e-10,1.1454728684303985e-32,6.045415203883634e-10,2.4539886651967005e-9,3.6630717059734277e-9
208,3.2379105140033644e-9,2.0066008882844204e-11,1.0265426517397079e-8,3.103696227000502e-10,1.6625661716283163e-32,6.370178155144806e-10,2.600892698488884e-9,3.874928329517845e-9
209,3.426469587183788e-9,2.2117003605129233e-11,1.0813108664328507e-8,3.3799039426594415e-10,2.4063132697524982e-32,6.710040589738515e-10,2.7554655282099364e-9,4.097473646157639e-9
210,3.6246056472503667e-9,2.4359896960861082e-11,1.1386067261316821e-8,3.645725657448818e-10,3.473107775088935e-32,7.065588245956392e-10,2.9180468226547276e-9,4.331164471846006e-9
211,3.832730941576049e-9,2.682036510560989e-11,1.1985274733852397e-8,3.912010020374517e-10,4.999087980279843e-32,7.43742455937959e-10,3.08898848563809e-9,4.576473397514007e-9
212,4.0512720908465915e-9,2.9531076116408586e-11,1.2611732589869272e-8,4.195627648691945e-10,7.176010594897697e-32,7.826171012608249e-10,3.2686549895857665e-9,4.833889192107416e-9
213,4.280670463120922e-9,3.249265054381524e-11,1.3266471985293851e-8,4.4975638218040013e-10,1.0273259814157228e-31,8.232467486210978e-10,3.4574237144998245e-9,5.10391721174202e-9
214,4.521382553912247e-9,3.572610476304227e-11,1.3950554291304569e-8,4.818851238090305e-10,1.4668284199459645e-31,8.656972610736042e-10,3.6556852928386425e-9,5.387079814985851e-9
215,4.773880372315806e-9,3.9254024199612644e-11,1.4665071663049063e-8,5.160571846953065e-10,2.088858100290601e-31,9.100364119627032e-10,3.863843960353103e-9,5.683916784278509e-9
216,5.038651833206355e-9,4.310066535668122e-11,1.541114760955436e-8,5.523858731527735e-10,2.9669462545851563e-31,9.563339202878818e-10,4.0823179129184735e-9,5.994985753494237e-9
217,5.3162011555302755e-9,4.7292063410647115e-11,1.618993756456832e-8,5.966935368534288e-10,4.1696961100199e-31,1.004661486127144e-9,4.3115396694031315e-9,6.3208626416574195e-9
218,5.607049266716036e-9,5.1856145612779204e-11,1.700262945806449e-8,6.463651460772215e-10,5.834105069288747e-31,1.055092826101562e-9,4.551956440614474e-9,6.6621420928175975e-9
219,5.911734213225785e-9,5.682285074116583e-11,1.7850444288137345e-8,6.997608959715192e-10,8.143178284931686e-31,1.1077037088640575e-9,4.804030504361728e-9,7.019437922089842e-9
220,6.2308115772714566e-9,6.22242548539116e-11,1.8734636693014662e-8,7.571280058473427e-10,1.133900123989271e-30,1.1625719905954493e-9,5.068239586676008e-9,7.3933835678669055e-9
221,6.564854899718389e-9,6.809470360113018e-11,1.9656495522910575e-8,8.187278627810903e-10,1.5751719255891948e-30,1.2197776504906149e-9,5.345077249227775e-9,7.784632550209005e-9
222,6.914456109198965e-9,7.447095135989067e-11,2.0617344411439192e-8,8.848366940504304e-10,2.1830535781631618e-30,1.279402826217382e-9,5.635053282981584e-9,8.193858935416347e-9
223,7.280225957457474e-9,8.139230746286521e-11,2.1618542346304315e-8,9.557462639304598e-10,3.0185259019144452e-30,1.341531849330501e-9,5.938694108126973e-9,8.621757806787975e-9
224,7.662794460949623e-9,8.89007897980688e-11,2.266148423898452e-8,1.031764595383472e-9,4.164186270426546e-30,1.4062512806232732e-9,6.2565431803263506e-9,9.069045741572896e-9
225,8.062811348717459e-9,9.704128606360227e-11,2.374760149312488e-8,1.113216717172984e-9,5.7316624941618075e-30,1.4736499453989199e-9,6.589161403318539e-9,9.536461294116378e-9
226,8.480946516560665e-9,1.0586172296785359e-10,2.4878362571346364e-8,1.2004454369298795e-9,7.871484207821262e-30,1.5438189686437614e-9,6.937127547916903e-9,1.0024765485204426e-8
227,8.917890487526243e-9,1.1541324367212838e-10,2.6055273560185294e-8,1.2938121406956383e-9,1.0786198093052222e-29,1.6168518100843586e-9,7.301038677441884e-9,1.0534742297610601e-8
228,9.374354878736777e-9,1.2575039377908794e-10,2.7279878732870817e-8,1.3936976194631104e-9,1.4747755815383675e-29,1.692844299110491e-9,7.681510579626287e-9,1.1067199177847267e-8
229,9.85107287457747e-9,1.3693131617675293e-10,2.8553761109647322e-8,1.5005029232308969e-9,2.0120518115500648e-29,1.7718946695457882e-9,8.079178205031681e-9,1.1622967544123257e-8
230,1.0348799706262562e-8,1.490179550541503e-10,2.987854301535057e-8,1.6018367668180362e-9,2.7391625616296305e-29,1.8541035942479423e-9,8.49469611201462e-9,1.2202903300510505e-8
231,1.0868313137800595e-8,1.6229004567626385e-10,3.1255886633942654e-8,1.7089025316462154e-9,3.721101275709621e-29,1.9395742195201996e-9,8.928738918280395e-9,1.2807887357320794e-8
232,1.1410413958378226e-8,1.7675092064242126e-10,3.2687494559713746e-8,1.832844471072379e-9,5.0444019108391696e-29,2.028412199316012e-9,9.382001759062214e-9,1.3438826157694238e-8
233,1.1975926481180637e-8,1.9202654569907137e-10,3.417511034485307e-8,1.9743536783186795e-9,6.824042435280357e-29,2.1207257292183815e-9,9.855200751962256e-9,1.4096652210399019e-8
234,1.2565699048669246e-8,2.0726373419274245e-10,3.5720519043101895e-8,2.1256730489550826e-9,9.212485287088354e-29,2.216625580176076e-9,1.034907346849317e-8,1.4782324628845322e-8
235,1.3180604544331797e-8,2.2474658632205564e-10,3.732554774918622e-8,2.2874018964460954e-9,1.24114928663983e-28,2.3162251319779547e-9,1.0864379412353842e-8,1.5496829676309752e-8
236,1.3821540910926527e-8,2.437568537014864e-10,3.8992066133747704e-8,2.4601708940964017e-9,1.6687539644589802e-28,2.4196404064479393e-9,1.1401900504478587e-8,1.6241181317374465e-8
237,1.448943167523327e-8,2.6422901868476867e-10,4.0721986973469146e-8,2.644643413929532e-9,2.2391876735688725e-28,2.526990100341784e-9,1.1962441574891485e-8,1.7016421775575054e-8
238,1.5185226479332427e-8,2.862638535546382e-10,4.251726667611551e-8,2.8415169076521794e-9,3.014732893554509e-28,2.6383956179283293e-9,1.2546830861404097e-8,1.7823622097260757e-8
239,1.590990161842467e-8,3.099682329881155e-10,4.437990580019244e-8,3.0515243303843026e-9,4.069385063398825e-28,2.753981103236752e-9,1.3155920515187918e-8,1.8663882721661423e-8
240,1.66644605852089e-8,3.3545544867093484e-10,4.631194956894048e-8,3.2698441133541585e-9,5.481820348454519e-28,2.8738734719523105e-9,1.3790587113256588e-8,1.953833405716121e-8
241,1.74499346208331e-8,3.628455369712112e-10,4.831548837837897e-8,3.4996356536046293e-9,7.369629197034598e-28,2.9982024429428513e-9,1.4451732177890248e-8,2.044813706377595e-8
242,1.8267383272431416e-8,3.9136204248049315e-10,5.0392658299113575e-8,3.743845985197504e-9,9.887806125240593e-28,3.127100569398317e-9,1.5140282703033097e-8,2.1394483841829734e-8
243,1.9117894957261592e-8,4.2048064119536143e-10,5.2545641571629556e-8,4.003266039704986e-9,1.324025159850187e-27,3.2607032695660164e-9,1.5857191687695577e-8,2.2378598226827607e-8
244,2.0002587533457265e-8,4.5155994490424325e-10,5.477666709479637e-8,4.278723449810156e-9,1.7694688824983266e-27,3.399148857064619e-9,1.6603438676392645e-8,2.3401736390521885e-8
245,2.092260887740244e-8,4.847175474761797e-10,5.708801090729809e-8,4.571083907595982e-9,2.360197303068256e-27,3.542578570759174e-9,1.7380030306643265e-8,2.4465187448161613e-8
246,2.1879137467744568e-8,5.200771797750452e-10,5.9481996661731184e-8,4.881252557810649e-9,3.142104018743354e-27,3.6911366041810955e-9,1.8188000863563474e-8,2.5570274071925662e-8
247,2.287338297605352e-8,5.571076629637572e-10,6.196099609109517e-8,5.210175426433507e-9,4.175108291351385e-27,3.844970134476095e-9,1.9028412841577425e-8,2.6718353110529615e-8
248,2.3906586864133392e-8,5.955789191701042e-10,6.45274294674061e-8,5.55884088485027e-9,5.537297148460625e-27,4.004229350863295e-9,1.9902357513270096e-8,2.7910816214996687e-8
249,2.4980022988000898e-8,6.415461582747281e-10,6.718376605218779e-8,5.928281149930688e-9,7.330248010781832e-27,4.169067482590323e-9,2.0810955505410576e-8,2.914909047059122e-8
250,2.6094998208532228e-8,6.907235440916488e-10,6.993252453857183e-8,6.3195738202809204e-9,9.685856077711153e-27,4.339640826367688e-9,2.175535738216454e-8,3.0434639034899916e-8
251,2.725285300878515e-8,7.433107176084865e-10,7.27762734847583e-8,6.7338434489269125e-9,1.2775076377289323e-26,4.516108773267048e-9,2.27367442355181e-8,3.1768961782052195e-8
252,2.8454962118002466e-8,7.965364363132197e-10,7.571763173859463e-8,7.17226315266565e-9,1.6819097801390252e-26,4.698633835068318e-9,2.3756328282934147e-8,3.3153595953070785e-8
253,2.9702735142297577e-8,8.563436138192563e-10,7.875926885302562e-8,7.636056258300625e-9,2.210360088808902e-26,4.8873816700402935e-9,2.4815353472257285e-8,3.4590116812337874e-8
254,3.099761720202628e-8,9.209260080576716e-10,8.190390549218442e-8,8.126497985959745e-9,2.899691909643935e-26,5.0825211081404915e-9,2.5915096093885792e-8,3.6080138310166777e-8
255,3.234108957584222e-8,9.892541982867081e-10,8.51543138278869e-8,8.644917169670858e-9,3.7973132861016714e-26,5.284224175619491e-9,2.7056865400222725e-8,3.762531375146171e-8
256,3.3734670351436966e-8,1.0628534528925224e-9,8.85133179263106e-8,9.19269801535152e-9,4.964138666236716e-26,5.49266611901617e-9,2.8242004232420795e-8,3.9227336470453136e-8
257,3.517991508295925e-8,1.1425664920511358e-9,9.198379412463288e-8,9.771281896345666e-9,6.478304378202172e-26,5.708025428529871e-9,2.947188965442938e-8,4.088794051148912e-8
258,3.667841745511069e-8,1.2260603521835168e-9,9.556867139742133e-8,1.0382169186619397e-8,8.439869611439834e-26,5.930483860756634e-9,3.074793359435406e-8,4.260890131586733e-8
259,3.8231809953911786e-8,1.314780871592782e-9,9.927093171257019e-8,1.104118955009267e-8,1.097675454595207e-25,6.160226460776734e-9,3.207158349313505e-8,4.439203641468852e-8
260,3.9841764544126294e-8,1.410270221423127e-9,1.0309361037657556e-7,1.1747073632551375e-8,1.425222901826999e-25,6.39744158358061e-9,3.344432296054568e-8,4.623920612770691e-8
261,4.1509993353336366e-8,1.5120179742674481e-9,1.070397963689628e-7,1.2493046518707164e-8,1.8474341388605964e-25,6.642320914821662e-9,3.486767243851471e-8,4.8152314268158026e-8
262,4.323824936265543e-8,1.6203879652425442e-9,1.1111263266567947e-7,1.328108260533308e-8,2.3907771350335855e-25,6.8950594908842966e-9,3.6343189871771134e-8,5.013330885353973e-8
263,4.502832710406596e-8,1.7357623164081427e-9,1.1531531655127957e-7,1.4113237395915986e-8,3.088870627426529e-25,7.155855718256417e-9,3.787247138580954e-8,5.2184182822322373e-8
264,4.688206336435768e-8,1.8585421982468638e-9,1.1965109991971044e-7,1.491660054200622e-8,3.9843483126197656e-25,7.424911392194667e-9,3.945715197216301e-8,5.430697475655235e-8
265,4.880133789565931e-8,1.989148615260383e-9,1.2412328956356752e-7,1.570217907855968e-8,5.131191287502576e-25,7.702431714674037e-9,4.109890618098527e-8,5.6503769610333346e-8
266,5.0788074132529635e-8,2.1280232161300534e-9,1.287352474516323e-7,1.6633222073838832e-8,6.597641867935118e-25,7.9886253116104e-9,4.2799448820919235e-8,5.8776699444140036e-8
267,5.2844239915592e-8,2.2756291288883962e-9,1.3349039099456573e-7,1.7613048064926027e-8,8.469838152834089e-25,8.283704249348032e-9,4.456053566624397e-8,6.112794416494002e-8
268,5.4971848221682765e-8,2.4324518215438032e-9,1.3839219329861098e-7,1.8643856576006315e-8,1.0856340769531052e-24,8.587884050403051e-9,4.638396417127971e-8,6.355973227208582e-8
269,5.717295790048428e-8,2.5989999885969255e-9,1.4344418340717525e-7,1.972792879095663e-8,1.389376237150813e-24,8.901383708454705e-9,4.8271574192029576e-8,6.607434160893898e-8
270,5.9449674417608705e-8,2.775806463882819e-9,1.4864994653016447e-7,2.08676298384946e-8,1.775375814958672e-24,9.224425702576668e-9,5.0225248715032035e-8,6.867410012018537e-8
271,6.180415060410045e-8,2.963429160168274e-9,1.5401312426096504e-7,2.2065411114228717e-8,2.2651693648312106e-24,9.55723601070177e-9,5.2246914593398676e-8,7.136138661480221e-8
272,6.423858741231872e-8,3.1561253827360997e-9,1.5953741478096583e-7,2.3323812639367842e-8,2.8857376691691616e-24,9.900044122313536e-9,5.4338543290005186e-8,7.413863153463225e-8
273,6.675523467815445e-8,3.3514403246402987e-9,1.652265730515148e-7,2.4645465455818627e-8,3.670832577961489e-24,1.0253083050358017e-8,5.650215162779643e-8,7.700831772851247e-8
274,6.935639188954669e-8,3.557602211578453e-9,1.7108441099324574e-7,2.6033094057381134e-8,4.662615098218603e-24,1.061658934237183e-8,5.873980254717486e-8,7.997298123191852e-8
275,7.20444089612386e-8,3.781995429128976e-9,1.771147976526683e-7,2.7246077578737153e-8,5.913674879130675e-24,1.0990803090819866e-8,6.105360587041874e-8,8.303521205205846e-8
276,7.482168701573398e-8,4.026416514317785e-9,1.833216593559824e-7,2.876589807596196e-8,7.4895163947697e-24,1.1375967942640185e-8,6.344571907309379e-8,8.619765495837416e-8
277,7.769067917039613e-8,4.284997825685444e-9,1.8970897985004746e-7,3.04130935248525e-8,9.471615413793516e-24,1.1772331107991828e-8,6.591834806240429e-8,8.946301027838796e-8
278,8.065389133062203e-8,4.535602892195514e-9,1.9628080043043943e-7,3.198796432913028e-8,1.1961171382160763e-23,1.2180143368201342e-8,6.847374796242069e-8,9.283403469882337e-8
279,8.371388298905034e-8,4.761171746202977e-9,2.030412200565994e-7,3.353246227758658e-8,1.5083707863127196e-23,1.2599659082908307e-8,7.111422390614203e-8,9.631354207195866e-8
280,8.687326803071832e-8,4.996596668249211e-9,2.099943954540017e-7,3.514177599958939e-8,1.8994705047522978e-23,1.3031136196405324e-8,7.384213183431299e-8,9.990440422712364e-8
281,9.013471554411148e-8,5.253968722105671e-9,2.171445412033496e-7,3.68181883838178e-8,2.388648659549474e-23,1.3474836243173052e-8,7.665987930093843e-8,1.0360955178728454e-7
282,9.350095063802897e-8,5.554008995762786e-9,2.2449592981678025e-7,3.8564045690767874e-8,2.9996628915189465e-23,1.3931024352609058e-8,7.956992628541991e-8,1.0743197499063803e-7
283,9.697475526418593e-8,5.899716782181802e-9,2.3205289180107513e-7,4.038175874854244e-8,3.7618215861446597e-23,1.4399969252950339e-8,8.257478601123559e-8,1.1137472451713627e-7
284,1.0055896904548272e-7,6.264692003726369e-9,2.3981981570791e-7,4.227380415574752e-8,4.7112327443642206e-23,1.4881943274391553e-8,8.567702577109117e-8,1.1544091231987427e-7
285,1.0425649010984024e-7,6.6498762733145565e-9,2.4780114817112974e-7,4.424272549115665e-8,5.892322946337e-23,1.5377222351398107e-8,8.887926775844213e-8,1.1963371246123833e-7
286,1.080702759295278e-7,7.056250256881308e-9,2.560013939311143e-7,4.629672739780068e-8,7.359682440959146e-23,1.588608602421818e-8,9.218418990530962e-8,1.2395636195374598e-7
287,1.1200334416588487e-7,7.48483496934747e-9,2.644251158462636e-7,4.879940182805663e-8,9.180303518222912e-23,1.6408817439595402e-8,9.559452672628946e-8,1.2841216160548027e-7
288,1.1605877351933188e-7,7.937460826421821e-9,2.730769348916388e-7,5.1420933580193385e-8,1.1436292553583124e-22,1.694570335068456e-8,9.911307016864732e-8,1.3300447687001644e-7
289,1.202397045845882e-7,8.38441499879233e-9,2.819615301448643e-7,5.416613350502236e-8,1.422815183318421e-22,1.7497034116176715e-8,1.0274267046841147e-7,1.377367387007649e-7
290,1.2454934071096886e-7,8.881093566229692e-9,2.91083638759315e-7,5.675080313125437e-8,1.7678745920846425e-22,1.8063103698635396e-8,1.0648623701233347e-7,1.4261244440960425e-7
291,1.289909488676679e-7,9.354375072706904e-9,3.0044805592471244e-7,5.950966738626629e-8,2.193808943227014e-22,1.8644209662051353e-8,1.1034673920561655e-7,1.4763515852971927e-7
292,1.3356786051389713e-7,9.803484046352304e-9,3.100596348151881e-7,6.263419492405886e-8,2.71891192463673e-22,1.9240653168619694e-8,1.1432720734527744e-7,1.5280851368251682e-7
293,1.3828347247378233e-7,1.0271507124159422e-8,3.1992328652496506e-7,6.590253735183104e-8,3.365464511671249e-22,1.9852738974748573e-8,1.1843073349903376e-7,1.581362114485309e-7
294,1.431412478158641e-7,1.0759122739584151e-8,3.300439799917103e-7,6.932031632311256e-8,4.1605709173388606e-22,2.04807754263029e-8,1.2266047238956118e-7,1.63622023242167e-7
295,1.4814471673710894e-7,1.1267029040313274e-8,3.4042674190775724e-7,7.289332995178415e-8,5.137162788815358e-22,2.112507445309523e-8,1.270196422840137e-7,1.6926979119020418e-7
296,1.5329747745125578e-7,1.1795944306204802e-8,3.5107665661924497e-7,7.628416376426531e-8,6.335204083073077e-22,2.1785951562626933e-8,1.3151152588862885e-7,1.750834290138827e-7
297,1.5860319708140975e-7,1.2346607371749673e-8,3.6199886601342653e-7,7.932346105175593e-8,7.803135026862352e-22,2.246372583309509e-8,1.3613947124831466e-7,1.8106692291450484e-7
298,1.6406561255668295e-7,1.3039634617705024e-8,3.731985693941818e-7,8.30553937530762e-8,9.599600586104103e-22,2.315871990566752e-8,1.4090689265101543e-7,1.8722433246235047e-7
299,1.6968853151278938e-7,1.3777174340292835e-8,3.846810233460148e-7,8.709165348825587e-8,1.1795517111282178e-21,2.387125997604318e-8,1.458172715367462e-7,1.9355979148883256e-7
300,1.7547583319639616e-7,1.4561596130660313e-8,3.964515415866194e-7,9.129878339391091e-8,1.4476540490269415e-21,2.460167578530315e-8,1.50874157411093e-7,2.0007750898169932e-7
301,1.8143146937310834e-7,1.539867487950073e-8,4.085154948082699e-7,9.568286610471633e-8,1.7746010461372193e-21,2.535030061006818e-8,1.5608116876304016e-7,2.0678176998317651e-7
302,1.875594652388933e-7,1.6278610385607796e-8,4.208783105081687e-7,1.0025015495842469e-7,2.172845898631885e-21,2.611747125197099e-8,1.6144199398692232e-7,2.1367693649086427e-7
303,1.938639203347972e-7,1.720331118284985e-8,4.3354547280799786e-7,1.0500707722540682e-7,2.6573786065952827e-21,2.6903528026458585e-8,1.6696039230833863e-7,2.2076744836125578e-7
304,2.0034900946478497e-7,1.8162451088759284e-8,4.4652252226289605e-7,1.099602373545004e-7,3.246222445811279e-21,2.770881475093837e-8,1.726401947138466e-7,2.2805782421572334e-7
305,2.0701898361649414e-7,1.9181551076898335e-8,4.598150556600219e-7,1.1511642023405685e-7,3.961023583914614e-21,2.853367873227808e-8,1.7848530488421607e-7,2.355526623487722e-7
306,2.1387817088476237e-7,2.025149598399678e-8,4.7342872580702293e-7,1.2013058993342512e-7,4.8277505510972224e-21,2.9378470753679273e-8,1.844997001310831e-7,2.432566416384417e-7
307,2.2093097739770863e-7,2.1374486843273963e-8,4.873692413105867e-7,1.2562958200233666e-7,5.877523133776301e-21,3.02435450609354e-8,1.9068743233677323e-7,2.51174522458644e-7
308,2.2818188824518442e-7,2.2552804113186704e-8,5.016423663453453e-7,1.316174193848397e-7,7.147593582357545e-21,3.1129259348091234e-8,1.970526288970932e-7,2.5931114759327563e-7
